	Series_reference	Period	Data_value	STATUS	UNITS	Subject	Group	Series_title_1
0	CPIM.SAP0100	2006.06	3.11	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
1	CPIM.SAP0100	2006.07	2.78	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
2	CPIM.SAP0100	2006.08	2.43	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
3	CPIM.SAP0100	2006.09	2.42	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
4	CPIM.SAP0100	2006.1	3.04	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
5	CPIM.SAP0100	2006.11	3.24	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
6	CPIM.SAP0100	2006.12	3.27	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
7	CPIM.SAP0100	2007.01	3.18	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
8	CPIM.SAP0100	2007.02	3.74	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
9	CPIM.SAP0100	2007.03	4.21	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
10	CPIM.SAP0100	2007.04	4.16	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
11	CPIM.SAP0100	2007.05	4.29	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
12	CPIM.SAP0100	2007.06	3.6	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
13	CPIM.SAP0100	2007.07	3.14	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
14	CPIM.SAP0100	2007.08	2.62	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
15	CPIM.SAP0100	2007.09	2.47	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
16	CPIM.SAP0100	2007.1	2.5	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
17	CPIM.SAP0100	2007.11	2.93	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
18	CPIM.SAP0100	2007.12	3.28	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
19	CPIM.SAP0100	2008.01	3.16	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
20	CPIM.SAP0100	2008.02	3.08	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
21	CPIM.SAP0100	2008.03	3.0	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
22	CPIM.SAP0100	2008.04	2.67	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
23	CPIM.SAP0100	2008.05	2.66	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
24	CPIM.SAP0100	2008.06	3.43	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
25	CPIM.SAP0100	2008.07	3.19	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
26	CPIM.SAP0100	2008.08	2.6	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
27	CPIM.SAP0100	2008.09	2.73	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
28	CPIM.SAP0100	2008.1	3.32	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
29	CPIM.SAP0100	2008.11	3.62	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
30	CPIM.SAP0100	2008.12	3.71	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
31	CPIM.SAP0100	2009.01	4.48	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
32	CPIM.SAP0100	2009.02	4.34	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
33	CPIM.SAP0100	2009.03	4.06	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
34	CPIM.SAP0100	2009.04	4.25	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
35	CPIM.SAP0100	2009.05	4.21	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
36	CPIM.SAP0100	2009.06	3.57	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
37	CPIM.SAP0100	2009.07	3.21	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
38	CPIM.SAP0100	2009.08	2.7	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
39	CPIM.SAP0100	2009.09	2.62	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
40	CPIM.SAP0100	2009.1	2.72	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
41	CPIM.SAP0100	2009.11	2.96	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
42	CPIM.SAP0100	2009.12	3.24	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
43	CPIM.SAP0100	2010.01	3.47	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
44	CPIM.SAP0100	2010.02	3.25	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
45	CPIM.SAP0100	2010.03	3.21	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
46	CPIM.SAP0100	2010.04	3.18	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
47	CPIM.SAP0100	2010.05	3.45	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
48	CPIM.SAP0100	2010.06	3.4	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
49	CPIM.SAP0100	2010.07	3.11	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
50	CPIM.SAP0100	2010.08	2.61	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
51	CPIM.SAP0100	2010.09	2.52	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
52	CPIM.SAP0100	2010.1	2.84	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
53	CPIM.SAP0100	2010.11	3.58	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
54	CPIM.SAP0100	2010.12	3.76	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
55	CPIM.SAP0100	2011.01	3.72	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
56	CPIM.SAP0100	2011.02	3.51	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
57	CPIM.SAP0100	2011.03	2.98	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
58	CPIM.SAP0100	2011.04	3.23	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
59	CPIM.SAP0100	2011.05	3.54	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
60	CPIM.SAP0100	2011.06	3.2	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
61	CPIM.SAP0100	2011.07	2.65	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
62	CPIM.SAP0100	2011.08	2.36	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
63	CPIM.SAP0100	2011.09	2.64	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
64	CPIM.SAP0100	2011.1	2.89	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
65	CPIM.SAP0100	2011.11	2.97	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
66	CPIM.SAP0100	2011.12	3.42	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
67	CPIM.SAP0100	2012.01	3.28	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
68	CPIM.SAP0100	2012.02	3.15	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
69	CPIM.SAP0100	2012.03	2.94	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
70	CPIM.SAP0100	2012.04	3.16	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
71	CPIM.SAP0100	2012.05	3.32	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
72	CPIM.SAP0100	2012.06	3.31	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
73	CPIM.SAP0100	2012.07	2.72	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
74	CPIM.SAP0100	2012.08	2.54	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
75	CPIM.SAP0100	2012.09	2.5	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
76	CPIM.SAP0100	2012.1	2.57	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
77	CPIM.SAP0100	2012.11	2.85	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
78	CPIM.SAP0100	2012.12	3.31	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
79	CPIM.SAP0100	2013.01	2.99	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
80	CPIM.SAP0100	2013.02	2.78	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
81	CPIM.SAP0100	2013.03	2.83	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
82	CPIM.SAP0100	2013.04	2.75	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
83	CPIM.SAP0100	2013.05	3.18	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
84	CPIM.SAP0100	2013.06	3.31	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
85	CPIM.SAP0100	2013.07	2.69	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
86	CPIM.SAP0100	2013.08	2.69	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
87	CPIM.SAP0100	2013.09	2.68	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
88	CPIM.SAP0100	2013.1	2.76	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
89	CPIM.SAP0100	2013.11	3.1	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
90	CPIM.SAP0100	2013.12	3.51	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
91	CPIM.SAP0100	2014.01	3.47	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
92	CPIM.SAP0100	2014.02	3.48	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
93	CPIM.SAP0100	2014.03	3.63	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
94	CPIM.SAP0100	2014.04	3.88	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
95	CPIM.SAP0100	2014.05	3.79	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
96	CPIM.SAP0100	2014.06	3.45	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
97	CPIM.SAP0100	2014.07	3.02	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
98	CPIM.SAP0100	2014.08	2.36	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
99	CPIM.SAP0100	2014.09	2.43	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
100	CPIM.SAP0100	2014.1	2.52	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
101	CPIM.SAP0100	2014.11	2.62	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
102	CPIM.SAP0100	2014.12	3.09	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
103	CPIM.SAP0100	2015.01	3.51	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
104	CPIM.SAP0100	2015.02	3.63	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
105	CPIM.SAP0100	2015.03	3.6	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
106	CPIM.SAP0100	2015.04	3.67	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
